"country","mortality_group","pathogen","brand","Dose","efficacy","scaling_factor","gamma_params","mid","low","high"
"India","High","Sp","PCV13","D1","E1",1,"VE",0.29,0.15,0.38
"India","High","Sp","PCV13","D1","E1",1,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D1","E1",1,"alpha",100,100,100
"India","High","Sp","PCV13","D1","E1",1,"beta",100,100,100
"India","High","Sp","PCV13","D2","E1",1,"VE",0.58,0.29,0.75
"India","High","Sp","PCV13","D2","E1",1,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D2","E1",1,"alpha",100,100,100
"India","High","Sp","PCV13","D2","E1",1,"beta",100,100,100
"India","High","Sp","PCV13","D3","E1",1,"VE",0.58,0.29,0.75
"India","High","Sp","PCV13","D3","E1",1,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D3","E1",1,"alpha",100,100,100
"India","High","Sp","PCV13","D3","E1",1,"beta",100,100,100
"India","High","Sp","PCV13","D1","E2",0.7,"VE",0.203,0.105,0.266
"India","High","Sp","PCV13","D1","E2",0.7,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D1","E2",0.7,"alpha",100,100,100
"India","High","Sp","PCV13","D1","E2",0.7,"beta",100,100,100
"India","High","Sp","PCV13","D2","E2",0.7,"VE",0.406,0.203,0.525
"India","High","Sp","PCV13","D2","E2",0.7,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D2","E2",0.7,"alpha",100,100,100
"India","High","Sp","PCV13","D2","E2",0.7,"beta",100,100,100
"India","High","Sp","PCV13","D3","E2",0.7,"VE",0.406,0.203,0.525
"India","High","Sp","PCV13","D3","E2",0.7,"Mean",10000,10000,10000
"India","High","Sp","PCV13","D3","E2",0.7,"alpha",100,100,100
"India","High","Sp","PCV13","D3","E2",0.7,"beta",100,100,100
"India","High","Rota","ROTARIX","D1","E1",1,"VE",0.5,0.38,0.65
"India","High","Rota","ROTARIX","D1","E1",1,"Mean",13.18,8.99,20.54
"India","High","Rota","ROTARIX","D1","E1",1,"alpha",0.4,0.4,0.4
"India","High","Rota","ROTARIX","D1","E1",1,"beta",32.95,22.475,51.35
"India","High","Rota","ROTARIX","D2","E1",1,"VE",0.79,0.75,0.82
"India","High","Rota","ROTARIX","D2","E1",1,"Mean",13.18,8.99,20.54
