"Country","age","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Afghanistan",0,154.913,144.96,139.21,137.049,138.148,142.206,148.258,155.784,164.048,172.215,179.444,183.622,186.652,189.12,191.947,195.861,200.084,205.307,211.429,218.302,225.707,232.486,239.599,246.612,253.023,258.411,265.852,272.491,277.072,278.067,274.732,271.907,265.838,258.476,252.319,249.353,238.995,232.299,231.548,239.63,258.415,273.916,299.873,330.535,358.351,378.248,402.557,418.506,429.267,439.554,452.431,461.46,472.676,484.508,495.002,503.067,514.035,523.082,530.525,536.798,542.129,541.144,539.409,537.539,536.553,537.333,542.779,549.973,557.981,565.377,571.037,573.954,575.251,575.405,575.199,575.26,575.83,576.682,577.685,578.64,579.385,579.947,580.377,580.609,580.56,580.169,579.498,578.491,577.164,575.557,573.699,571.794,569.682,567.315,564.636,561.616,558.446,554.97,551.335,547.738,544.312,541.434,538.737,536.067,533.201,529.972,526.635,522.962,519.009,514.87,510.625,506.65,502.581,498.43,494.209,489.928,485.998,482.031,478.027,473.984,469.896,466.194,462.46,458.672,454.799,450.82,447.15,443.387,439.553,435.685,431.806,428.341,424.879,421.394,417.851,414.222,410.866,407.446,403.969,400.452,396.905,393.644,390.38,387.099,383.787,380.433,377.296,374.151,370.999,367.846,364.703
"Albania",0,19.178,20.246,21.513,22.841,24.123,25.288,26.199,26.994,27.702,28.375,29.065,29.737,30.433,31.052,31.462,31.586,31.341,30.832,30.242,29.824,29.755,30.183,30.953,31.884,32.712,33.243,33.34,33.17,32.871,32.648,32.657,32.913,33.333,33.939,34.745,35.724,36.957,38.352,39.539,40.034,39.536,38.533,36.57,34.065,31.59,29.544,27.999,26.9,26.094,25.333,24.441,23.224,21.939,20.646,19.443,18.414,17.648,17.027,16.603,16.43,16.527,16.858,17.454,18.126,18.618,18.752,18.279,17.449,16.428,15.476,14.786,14.463,14.398,14.472,14.507,14.372,14.019,13.514,12.924,12.349,11.863,11.481,11.181,10.95,10.763,10.599,10.467,10.365,10.279,10.196,10.106,10.011,9.904,9.789,9.674,9.563,9.467,9.374,9.279,9.171,9.045,8.901,8.741,8.57,8.395,8.221,8.051,7.886,7.724,7.561,7.396,7.23,7.064,6.903,6.749,6.608,6.484,6.373,6.272,6.176,6.079,5.99,5.902,5.813,5.724,5.633,5.551,5.469,5.383,5.293,5.199,5.107,5.013,4.915,4.812,4.7,4.587,4.469,4.35,4.23,4.112,4.002,3.897,3.795,3.694,3.59,3.49,3.39,3.29,3.191,3.093
"Algeria",0,152.469,175.148,193.217,206.702,215.691,220.301,218.505,215.381,212.149,210.492,212.202,218.735,229.228,241.912,254.252,264.343,269.391,272.565,274.93,278.079,283.243,290.853,300.357,311.08,322.056,332.501,340.713,348.474,355.89,363.177,370.443,376.055,381.623,386.696,390.784,393.553,394.55,394.195,392.579,389.901,386.287,382.257,377.719,371.638,362.639,350.014,333.13,313.396,293.572,277.386,267.624,265.309,269.152,279.017,294.285,314.088,338.94,367.955,397.934,424.759,445.525,457.12,462.298,463.409,464.157,467.262,474.833,484.738,493.943,498.22,494.741,482.041,462.159,438.946,417.811,402.714,396.133,395.587,398.931,402.737,404.456,403.222,400.197,396.511,393.894,393.587,396.134,400.684,406.566,412.823,418.705,424.288,429.432,433.928,437.611,440.365,442.462,443.527,443.548,442.561,440.62,438.22,434.955,430.979,426.489,421.666,417.079,412.296,407.522,402.973,398.801,395.581,392.849,390.55,388.57,386.812,385.677,384.798,384.189,383.88,383.866,384.553,385.515,386.576,387.51,388.13,388.743,389.067,389.017,388.513,387.489,386.304,384.684,382.656,380.281,377.611,375.142,372.507,369.727,366.816,363.78,361.239,358.713,356.195,353.693,351.234,349.522,347.943,346.52,345.276,344.226
"Angola",0,85.107,88.3,92.571,96.717,99.844,101.384,102.431,102.36,101.664,101.16,101.731,103.297,106.005,109.088,111.316,111.807,110.205,107.006,104.161,104.268,109.135,116.663,128.744,143.009,156.08,165.446,168.674,168.573,166.926,166.412,169.071,175.889,185.614,197.139,208.851,219.486,228.244,236.122,243.302,250.122,256.897,263.419,270.044,276.897,284.15,291.952,299.74,308.294,317.721,328.122,339.545,350.983,363.42,376.968,391.749,407.723,423.679,440.814,458.167,474.552,489.162,501.358,512.066,521.732,531.113,540.869,551.479,562.521,574.312,587.191,601.338,617.057,634.008,651.779,669.746,687.406,704.195,720.692,737.024,753.438,770.128,787.138,804.441,821.837,839.08,856.008,872.607,888.91,905.111,921.49,938.231,955.754,973.618,991.49,1008.91,1025.548,1041.455,1056.636,1071.409,1086.24,1101.473,1117.714,1134.338,1151.164,1167.914,1184.367,1200.888,1217.108,1233.089,1248.931,1264.698,1281.012,1297.236,1313.174,1328.57,1343.258,1357.727,1371.485,1384.805,1398.079,1411.571,1426.237,1441.083,1455.768,1469.815,1482.872,1495.599,1507.407,1518.436,1528.913,1539.038,1549.724,1560.022,1570.2,1580.596,1591.404,1603.842,1616.649,1629.297,1641.058,1651.396,1661.068,1669.327,1676.469,1682.827,1688.678,1695.364,1701.803,1707.872,1713.343,1717.858
"Armenia",0,24.156,21.862,21.204,21.694,23.018,24.921,27.253,29.613,31.776,33.539,34.72,35.136,34.868,34.013,32.742,31.237,29.426,27.382,25.478,24.193,23.842,24.761,26.622,28.959,31.105,32.585,33.258,33.258,32.907,32.697,32.982,34.065,35.533,37.159,38.618,39.65,40.199,40.358,39.956,38.824,36.921,34.962,32.31,29.292,26.309,23.634,20.983,18.676,16.839,15.624,15.124,15.432,16.472,17.917,19.308,20.313,20.758,20.791,20.553,20.274,20.123,19.964,19.903,19.892,19.864,19.771,19.619,19.418,19.165,18.852,18.48,18.048,17.557,17.044,16.554,16.119,15.761,15.465,15.226,15.037,14.889,14.792,14.738,14.72,14.732,14.763,14.825,14.9,14.981,15.06,15.134,15.218,15.292,15.339,15.342,15.288,15.179,15.015,14.808,14.578,14.341,14.11,13.878,13.647,13.42,13.195,12.982,12.778,12.589,12.417,12.265,12.148,12.053,11.977,11.915,11.864,11.838,11.821,11.81,11.799,11.787,11.783,11.775,11.759,11.728,11.679,11.616,11.536,11.441,11.333,11.213,11.084,10.948,10.807,10.664,10.519,10.379,10.243,10.112,9.985,9.863,9.76,9.664,9.575,9.489,9.407,9.345,9.285,9.226,9.166,9.105
"Azerbaijan",0,50.046,50.178,52.609,55.984,59.446,62.486,64.742,66.548,68.206,70.195,72.971,76.857,81.312,85.48,88.216,88.742,86.414,82.057,76.638,71.572,67.947,66.425,66.37,67.323,68.53,69.421,69.721,69.791,69.902,70.445,71.692,73.683,76.205,79.154,82.381,85.722,89.294,92.91,96.004,97.869,98.026,96.126,92.689,88.061,82.807,77.447,72.176,66.907,62.16,58.54,56.44,56.112,57.372,59.688,62.265,64.514,65.933,66.896,67.806,69.264,71.645,75.272,79.726,84.077,87.097,87.953,86.223,82.444,77.433,72.411,68.311,65.602,63.823,62.81,62.211,61.747,61.451,61.348,61.41,61.596,61.866,62.221,62.602,62.957,63.235,63.397,63.492,63.461,63.283,62.95,62.466,61.908,61.205,60.41,59.596,58.819,58.173,57.574,57.013,56.461,55.899,55.359,54.818,54.293,53.802,53.357,52.99,52.67,52.386,52.116,51.847,51.606,51.365,51.123,50.879,50.635,50.434,50.231,50.016,49.779,49.512,49.251,48.964,48.65,48.308,47.939,47.56,47.161,46.756,46.364,45.995,45.657,45.351,45.071,44.803,44.536,44.28,44.034,43.793,43.551,43.302,43.086,42.871,42.656,42.437,42.217,42.055,41.899,41.748,41.605,41.472
"Bangladesh",0,685.54,684.5,689.438,702.435,724.66,756.39,793.805,837.075,883.19,928.428,969.114,997.611,1021.066,1042.604,1066.909,1097.167,1133.698,1176.49,1219.187,1253.544,1274.454,1284.904,1283.182,1278.129,1281.037,1299.176,1323.514,1362.985,1410.731,1457.351,1496.041,1519.442,1536.202,1548.294,1559.18,1571.477,1579.804,1589.806,1599.813,1607.62,1611.746,1610.09,1605.374,1599.837,1596.554,1597.559,1601.649,1609.649,1619.18,1626.9,1630.223,1629.107,1624.217,1614.763,1600.081,1580.138,1555.808,1526.65,1496.382,1469.995,1450.987,1441.279,1438.966,1441.206,1443.692,1443.11,1437.361,1428.675,1417.619,1405.367,1392.858,1380.48,1367.723,1354.223,1339.503,1323.292,1305.832,1287.109,1267.888,1249.212,1231.816,1216.733,1203.021,1190.103,1177.089,1163.334,1149.292,1134.613,1119.691,1105.114,1091.305,1079.234,1067.862,1057.048,1046.574,1036.239,1027.099,1018.123,1008.956,999.181,988.536,977.857,966.306,954.284,942.351,930.898,921.104,911.847,902.933,894.043,884.92,876.559,868.094,859.511,850.822,842.032,834.189,826.311,818.422,810.586,802.836,796.267,789.888,783.529,776.945,769.944,763.441,756.645,749.658,742.646,735.7,729.934,724.389,718.844,713.004,706.657,700.75,694.501,688.026,681.523,675.123,669.882,664.879,659.939,654.863,649.473,644.655,639.595,634.263,628.68,622.918
"Belarus",0,86.997,82.167,79.5,78.92,80.311,83.436,87.46,91.931,95.961,98.584,98.952,96.197,91.07,84.551,78.086,72.793,68.737,65.766,64.051,63.677,64.606,67.323,71.415,75.907,79.49,81.278,80.562,77.995,74.593,71.84,70.786,71.958,74.693,78.144,81.095,82.649,82.697,81.487,79.055,75.547,71.163,65.965,59.925,53.754,48.387,44.492,42.486,42.029,42.67,43.694,44.564,45.12,45.527,45.905,46.467,47.361,48.457,49.76,51.18,52.599,53.91,55.074,56.153,56.907,57.036,56.361,54.718,52.259,49.508,47.207,45.881,45.95,46.996,48.489,49.644,49.901,49.019,47.288,45.097,43.026,41.506,40.698,40.419,40.546,40.871,41.23,41.637,42.099,42.599,43.127,43.671,44.274,44.858,45.379,45.789,46.059,46.2,46.196,46.065,45.832,45.514,45.135,44.689,44.18,43.619,43.02,42.415,41.796,41.186,40.608,40.073,39.63,39.25,38.929,38.667,38.463,38.367,38.332,38.354,38.423,38.523,38.694,38.895,39.102,39.288,39.432,39.559,39.645,39.685,39.675,39.616,39.527,39.401,39.233,39.018,38.748,38.454,38.126,37.774,37.411,37.05,36.763,36.496,36.237,35.981,35.726,35.55,35.373,35.207,35.063,34.953
"Belize",0,1.258,1.555,1.757,1.89,1.973,2.021,2.015,2.001,1.982,1.96,1.938,1.909,1.892,1.889,1.901,1.932,1.989,2.063,2.146,2.227,2.296,2.378,2.449,2.504,2.536,2.543,2.514,2.46,2.409,2.398,2.449,2.556,2.724,2.917,3.087,3.199,3.222,3.193,3.132,3.071,3.036,3.045,3.078,3.138,3.222,3.326,3.401,3.497,3.595,3.671,3.712,3.737,3.73,3.7,3.662,3.627,3.588,3.55,3.521,3.515,3.54,3.615,3.72,3.836,3.934,3.993,4.003,3.974,3.924,3.881,3.864,3.887,3.934,3.992,4.039,4.06,4.053,4.023,3.977,3.93,3.892,3.871,3.858,3.85,3.841,3.828,3.813,3.795,3.773,3.751,3.729,3.711,3.694,3.676,3.658,3.64,3.624,3.608,3.592,3.575,3.558,3.544,3.531,3.517,3.501,3.483,3.467,3.449,3.429,3.409,3.389,3.374,3.36,3.345,3.329,3.31,3.294,3.277,3.258,3.239,3.221,3.207,3.194,3.181,3.167,3.152,3.141,3.129,3.116,3.103,3.089,3.079,3.07,3.06,3.05,3.038,3.03,3.021,3.012,3.001,2.989,2.98,2.969,2.958,2.946,2.932,2.921,2.911,2.9,2.888,2.874
"Benin",0,34.93,35.044,35.436,36.093,36.994,38.11,39.064,40.175,41.402,42.702,44.031,45.052,46.112,47.22,48.401,49.681,50.763,51.971,53.297,54.728,56.257,57.603,59.07,60.678,62.453,64.407,66.277,68.348,70.566,72.863,75.19,77.249,79.379,81.594,83.923,86.388,88.688,91.139,93.78,96.662,99.803,102.722,105.921,109.242,112.483,115.507,118.388,121.096,123.726,126.421,129.289,132.132,135.159,138.376,141.779,145.355,149.1,153.032,157.043,160.994,164.78,168.184,171.467,174.663,177.84,181.059,184.077,187.168,190.364,193.712,197.236,200.867,204.686,208.623,212.577,216.47,220.153,223.787,227.383,230.969,234.565,238.114,241.682,245.246,248.785,252.28,255.709,259.11,262.466,265.759,268.979,272.132,275.225,278.268,281.283,284.282,287.332,290.379,293.406,296.392,299.321,302.255,305.135,307.976,310.801,313.623,316.564,319.507,322.387,325.119,327.645,330.048,332.25,334.326,336.384,338.499,340.881,343.317,345.715,347.948,349.921,351.769,353.377,354.791,356.081,357.306,358.667,359.959,361.216,362.478,363.764,365.318,366.898,368.417,369.758,370.835,371.808,372.52,373.02,373.385,373.673,374.132,374.523,374.81,374.95,374.917,374.922,374.763,374.471,374.098,373.721
