"Country","age","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Afghanistan",0,139.669,142.615,145.816,149.351,153.229,157.43,160.789,164.614,168.843,173.411,178.269,182.276,186.73,191.614,196.93,202.678,207.685,213.109,219.066,225.722,233.103,240.035,247.447,254.875,261.768,267.657,275.417,282.423,287.371,288.676,285.555,282.875,276.942,269.641,263.394,260.174,249.18,241.659,240.415,248.974,269.599,286.375,314.981,348.529,378.05,397.708,423.136,438.162,447.257,456.858,471.059,481.869,496.831,512.89,526.132,534.272,544.627,550.563,553.99,557.46,562.586,561.841,562.794,564.807,567.175,569.568,575.645,581.86,587.94,593.443,597.969,600.867,602.791,603.961,604.746,605.465,606.309,607.148,607.947,608.658,609.235,609.798,610.276,610.577,610.585,610.206,609.585,608.587,607.227,605.539,603.552,601.554,599.292,596.742,593.87,590.666,587.437,583.907,580.209,576.522,572.966,570.018,567.207,564.386,561.339,557.909,554.45,550.63,546.51,542.192,537.76,533.694,529.522,525.254,520.892,516.444,512.392,508.273,504.096,499.868,495.595,491.738,487.845,483.9,479.877,475.759,471.926,468.008,464.03,460.028,456.029,452.397,448.778,445.148,441.479,437.747,434.219,430.643,427.029,423.391,419.743,416.278,412.82,409.363,405.904,402.439,399.089,395.758,392.454,389.191,385.988
"Albania",0,20.261,21.057,22.151,23.402,24.701,25.966,27.054,28.059,28.98,29.836,30.647,31.345,31.999,32.536,32.867,32.946,32.706,32.236,31.709,31.36,31.354,31.846,32.675,33.669,34.577,35.213,35.442,35.425,35.283,35.203,35.324,35.669,36.14,36.769,37.592,38.591,39.881,41.348,42.56,42.949,42.174,41.339,39.381,36.85,34.469,32.707,30.749,29.433,28.506,27.624,26.563,25.473,24.282,23.056,21.891,20.858,19.971,19.182,18.566,18.218,18.186,18.376,18.877,19.493,19.955,20.071,19.669,18.921,17.977,17.074,16.388,16.006,15.835,15.778,15.687,15.456,15.042,14.505,13.904,13.324,12.83,12.432,12.115,11.862,11.646,11.445,11.261,11.096,10.949,10.82,10.71,10.619,10.541,10.468,10.39,10.3,10.194,10.075,9.943,9.801,9.652,9.496,9.334,9.164,8.985,8.794,8.59,8.378,8.164,7.96,7.77,7.603,7.453,7.316,7.184,7.05,6.921,6.792,6.665,6.542,6.426,6.328,6.237,6.149,6.06,5.968,5.882,5.794,5.703,5.608,5.508,5.409,5.308,5.204,5.095,4.979,4.858,4.733,4.607,4.481,4.356,4.239,4.128,4.019,3.911,3.801,3.695,3.589,3.483,3.378,3.275
"Algeria",0,160.403,181.614,198.803,211.926,221.023,226.159,224.627,221.971,219.329,218.286,220.547,227.624,238.516,251.504,264.145,274.601,279.724,283.043,285.603,288.975,294.388,302.285,312.1,323.186,334.611,345.607,354.545,363.129,371.365,379.335,387.063,392.598,397.876,402.614,406.554,409.518,410.82,411.096,410.205,408.034,404.495,400.276,395.141,388.21,378.327,364.944,347.447,327.234,307.023,290.485,280.376,277.994,281.781,291.699,307.244,327.616,353.423,383.651,414.98,443.135,465.094,477.212,482.793,484.191,485.144,488.41,496.157,506.198,515.45,519.63,515.872,502.699,482.18,458.265,436.495,420.927,414.151,413.573,416.992,420.887,422.638,421.365,418.25,414.468,411.808,411.56,414.295,419.122,425.342,431.956,438.182,444.067,449.496,454.253,458.168,461.121,463.347,464.504,464.58,463.61,461.65,459.158,455.767,451.639,446.983,441.986,437.191,432.194,427.212,422.477,418.153,414.787,411.937,409.551,407.51,405.714,404.528,403.612,402.986,402.683,402.704,403.429,404.443,405.565,406.56,407.237,407.893,408.24,408.192,407.667,406.605,405.374,403.672,401.536,399.042,396.252,393.668,390.904,387.986,384.937,381.773,379.103,376.443,373.797,371.182,368.626,366.819,365.157,363.666,362.373,361.292
"Angola",0,85.15,85.505,88.443,92.438,96.417,99.601,101.111,101.702,101.632,101.48,101.942,104.407,107.464,110.414,112.176,111.978,108.43,103.122,98.178,96.59,100.507,110.138,125.008,142.246,157.846,168.826,172.078,171.134,168.084,166.091,167.63,173.901,183.469,195.112,207.044,217.871,226.758,234.761,242.052,248.952,255.767,262.262,268.81,275.552,282.681,290.366,298.083,306.575,315.971,326.391,337.894,349.557,362.323,376.211,391.219,407.251,423.135,440.001,457.257,474.191,490.273,504.943,518.997,532.224,544.493,555.841,566.222,575.854,585.607,596.646,609.781,625.791,643.795,663.084,682.567,701.374,718.76,735.525,751.909,768.328,785.109,802.314,819.891,837.608,855.181,872.416,889.273,905.836,922.305,938.968,956.012,973.838,992.031,1010.245,1027.996,1044.944,1061.106,1076.533,1091.55,1106.631,1122.131,1138.663,1155.605,1172.763,1189.844,1206.615,1223.454,1239.989,1256.287,1272.46,1288.576,1305.299,1321.963,1338.341,1354.143,1369.175,1383.975,1398.017,1411.6,1425.152,1438.967,1454.077,1469.416,1484.615,1499.156,1512.658,1525.832,1538.051,1549.46,1560.3,1570.784,1581.881,1592.59,1603.183,1614.001,1625.24,1638.147,1651.434,1664.567,1676.807,1687.61,1697.697,1706.363,1713.908,1720.674,1726.946,1734.017,1740.857,1747.345,1753.253,1758.23
"Armenia",0,23.608,22.608,22.985,24.181,25.834,27.692,29.597,31.362,32.896,34.157,35.115,35.74,35.984,35.783,35.076,33.865,31.966,29.581,27.194,25.455,24.815,25.724,27.723,30.286,32.654,34.283,35.003,34.995,34.599,34.326,34.552,35.529,36.887,38.424,39.855,40.937,41.832,42.427,42.438,41.537,39.577,37.408,34.271,30.684,27.305,24.58,22.154,20.409,19.308,18.764,18.701,19.045,19.888,20.998,22.069,22.871,23.306,23.432,23.353,23.244,23.231,23.046,22.94,22.856,22.717,22.477,22.156,21.751,21.28,20.771,20.245,19.709,19.158,18.612,18.09,17.605,17.169,16.778,16.439,16.15,15.914,15.732,15.601,15.523,15.498,15.523,15.604,15.727,15.87,16.007,16.118,16.196,16.241,16.249,16.214,16.136,16.012,15.845,15.642,15.419,15.185,14.945,14.701,14.455,14.213,13.976,13.749,13.534,13.334,13.153,12.996,12.869,12.767,12.685,12.622,12.572,12.54,12.521,12.509,12.502,12.493,12.486,12.477,12.46,12.429,12.38,12.313,12.228,12.127,12.013,11.888,11.752,11.607,11.458,11.306,11.154,11.006,10.861,10.721,10.587,10.46,10.348,10.245,10.15,10.061,9.977,9.908,9.843,9.781,9.72,9.658
"Azerbaijan",0,51.523,51.232,53.539,57.021,60.786,64.294,67.15,69.577,71.837,74.349,77.506,81.532,85.957,89.966,92.479,92.775,90.176,85.567,79.921,74.672,70.928,69.426,69.453,70.53,71.865,72.855,73.172,73.216,73.303,73.887,75.28,77.67,80.696,84.158,87.775,91.282,94.812,98.201,100.974,102.571,102.632,100.791,97.591,93.369,88.662,83.957,79.424,75.013,71.138,68.258,66.665,66.357,67.4,69.377,71.661,73.784,75.294,76.482,77.751,79.693,82.648,87.062,92.409,97.529,100.9,101.507,98.659,93.198,86.267,79.572,74.412,71.5,70.13,69.868,69.957,69.822,69.389,68.807,68.195,67.74,67.562,67.72,68.076,68.512,68.873,69.047,69.056,68.881,68.52,67.992,67.323,66.581,65.702,64.738,63.756,62.809,61.974,61.185,60.453,59.781,59.165,58.644,58.187,57.775,57.379,56.975,56.574,56.165,55.762,55.383,55.042,54.77,54.531,54.315,54.104,53.885,53.681,53.467,53.238,52.989,52.717,52.433,52.127,51.796,51.442,51.065,50.658,50.234,49.807,49.395,49.013,48.654,48.328,48.03,47.748,47.472,47.198,46.934,46.678,46.425,46.173,45.935,45.702,45.472,45.247,45.026,44.841,44.667,44.508,44.363,44.237
"Bangladesh",0,704.581,697.602,698.29,708.915,730.735,763.967,804.884,852.508,903.158,952.314,995.535,1025.584,1048.919,1069.391,1092.763,1123.003,1161.259,1206.714,1252.107,1287.914,1308.2,1316.712,1311.051,1301.664,1302.004,1320.851,1349.968,1397.188,1454.173,1509.354,1554.258,1578.203,1593.344,1602.288,1609.609,1618.909,1627.996,1639.135,1650.628,1660.129,1665.996,1667.268,1665.419,1662.551,1661.498,1664.094,1669.176,1677.447,1686.729,1693.983,1696.837,1696.677,1692.784,1683.888,1668.71,1646.896,1622.796,1592.556,1560.726,1533.333,1514.534,1503.763,1501.604,1504.748,1508.213,1508.193,1502.641,1493.792,1482.283,1469.424,1456.257,1443.039,1429.355,1414.89,1399.249,1382.223,1364.121,1344.865,1325.185,1306.056,1288.167,1272.572,1258.302,1244.797,1231.19,1216.853,1202.279,1187.071,1171.63,1156.554,1142.276,1129.739,1117.926,1106.705,1095.861,1085.198,1075.634,1066.28,1056.781,1046.701,1035.756,1024.548,1012.486,999.98,987.617,975.82,965.501,955.79,946.49,937.283,927.919,919.069,910.162,901.202,892.217,883.223,874.909,866.62,858.391,850.285,842.34,835.302,828.498,821.767,814.883,807.666,800.739,793.568,786.26,778.988,771.847,765.727,759.859,754.024,747.929,741.358,735.085,728.482,721.685,714.903,708.267,702.705,697.427,692.247,686.952,681.352,676.238,670.901,665.311,659.488,653.508
"Belarus",0,88.376,85.962,85.18,85.87,87.882,91.008,94.374,97.874,100.828,102.515,102.304,99.454,94.68,88.756,82.811,77.733,73.494,70.055,67.724,66.786,67.345,69.955,74.104,78.756,82.506,84.39,83.638,81,77.502,74.66,73.562,74.794,77.603,81.182,84.364,86.27,86.789,86.179,84.315,81.139,76.722,71.116,64.325,57.243,51.067,46.645,44.435,44.052,44.943,46.23,47.255,47.917,48.333,48.666,49.196,50.119,51.263,52.652,54.199,55.788,57.311,58.665,60.01,60.964,61.035,59.93,57.318,53.507,49.374,46.159,44.724,45.72,48.485,52.01,54.844,55.958,54.83,52.055,48.386,44.951,42.588,41.602,41.639,42.391,43.355,44.158,44.717,45.16,45.534,45.932,46.416,46.982,47.581,48.153,48.627,48.952,49.097,49.093,48.953,48.707,48.378,47.969,47.486,46.942,46.351,45.727,45.078,44.416,43.766,43.152,42.596,42.112,41.697,41.354,41.084,40.886,40.77,40.727,40.749,40.827,40.949,41.118,41.323,41.542,41.746,41.916,42.041,42.126,42.166,42.161,42.111,42.013,41.875,41.694,41.466,41.187,40.87,40.516,40.138,39.755,39.382,39.068,38.776,38.499,38.233,37.975,37.773,37.58,37.405,37.259,37.152
"Belize",0,1.308,1.58,1.766,1.891,1.973,2.025,2.028,2.024,2.016,2.005,1.991,1.963,1.945,1.937,1.945,1.972,2.026,2.098,2.181,2.262,2.333,2.416,2.49,2.55,2.59,2.609,2.586,2.543,2.503,2.498,2.546,2.648,2.803,2.98,3.136,3.241,3.267,3.248,3.2,3.152,3.126,3.141,3.176,3.234,3.317,3.42,3.493,3.59,3.688,3.763,3.803,3.826,3.815,3.781,3.744,3.715,3.699,3.69,3.689,3.702,3.729,3.782,3.848,3.919,3.98,4.021,4.039,4.036,4.022,4.01,4.013,4.039,4.079,4.121,4.153,4.164,4.153,4.123,4.08,4.036,4.001,3.98,3.967,3.958,3.949,3.935,3.919,3.9,3.879,3.856,3.834,3.816,3.798,3.781,3.763,3.744,3.728,3.711,3.694,3.677,3.66,3.646,3.632,3.618,3.603,3.585,3.568,3.549,3.528,3.508,3.488,3.472,3.457,3.442,3.426,3.408,3.391,3.373,3.354,3.335,3.316,3.302,3.288,3.275,3.261,3.246,3.234,3.222,3.209,3.195,3.182,3.171,3.161,3.151,3.14,3.129,3.12,3.111,3.102,3.091,3.078,3.069,3.058,3.046,3.033,3.019,3.008,2.997,2.986,2.974,2.961
"Benin",0,30.219,33.802,36.582,38.684,40.195,41.178,41.272,41.252,41.268,41.502,42.142,43.138,44.656,46.524,48.494,50.374,51.789,53.169,54.537,55.938,57.413,58.699,60.083,61.608,63.331,65.286,67.233,69.443,71.839,74.32,76.809,78.935,81.121,83.392,85.794,88.365,90.702,93.226,95.977,99.011,102.347,105.36,108.7,112.186,115.594,118.768,121.792,124.628,127.383,130.216,133.246,136.159,139.282,142.603,146.103,149.755,153.705,157.821,162.005,166.135,170.114,173.599,176.982,180.287,183.565,186.868,189.967,193.126,196.39,199.816,203.44,207.195,211.158,215.249,219.355,223.383,227.178,230.912,234.599,238.273,241.957,245.598,249.261,252.924,256.561,260.153,263.68,267.182,270.639,274.03,277.341,280.575,283.745,286.866,289.962,293.049,296.172,299.3,302.415,305.491,308.507,311.518,314.477,317.398,320.304,323.208,326.229,329.257,332.222,335.035,337.636,340.103,342.366,344.502,346.623,348.807,351.266,353.786,356.273,358.592,360.645,362.563,364.24,365.719,367.07,368.352,369.766,371.11,372.421,373.742,375.096,376.722,378.384,379.991,381.42,382.581,383.62,384.397,384.961,385.391,385.746,386.258,386.707,387.053,387.255,387.283,387.329,387.211,386.963,386.638,386.318
