"country","age","pathogen","disease","scenario","Mid","Low","High"
"Afghanistan","0-4","Hib","Hib meningitis","Cases",54,21,83
"Albania","0-4","Hib","Hib meningitis","Cases",11,2,24
"Algeria","0-4","Hib","Hib meningitis","Cases",7,1,12
"Angola","0-4","Hib","Hib meningitis","Cases",45,21,66
"Armenia","0-4","Hib","Hib meningitis","Cases",12,2,20
"Azerbaijan","0-4","Hib","Hib meningitis","Cases",8,2,12
"Bangladesh","0-4","Hib","Hib meningitis","Cases",9,3,15
"Belarus","0-4","Hib","Hib meningitis","Cases",4,1,6
"Belize","0-4","Hib","Hib meningitis","Cases",21,6,35
"Benin","0-4","Hib","Hib meningitis","Cases",36,11,59
"Bhutan","0-4","Hib","Hib meningitis","Cases",12,5,18
"Bolivia, Plurinational State of","0-4","Hib","Hib meningitis","Cases",11,3,19
"Bosnia and Herzegovina","0-4","Hib","Hib meningitis","Cases",1,0,3
"Burkina Faso","0-4","Hib","Hib meningitis","Cases",54,25,81
"Burundi","0-4","Hib","Hib meningitis","Cases",70,30,107
"Cabo Verde","0-4","Hib","Hib meningitis","Cases",43,22,71
"Cambodia","0-4","Hib","Hib meningitis","Cases",15,2,25
"Cameroon","0-4","Hib","Hib meningitis","Cases",30,9,50
"Central African Republic","0-4","Hib","Hib meningitis","Cases",60,17,99
"Chad","0-4","Hib","Hib meningitis","Cases",63,20,102
"China","0-4","Hib","Hib meningitis","Cases",15,8,25
"Colombia","0-4","Hib","Hib meningitis","Cases",9,1,15
"Comoros","0-4","Hib","Hib meningitis","Cases",20,6,35
"Congo","0-4","Hib","Hib meningitis","Cases",14,4,22
"Cote d'Ivoire","0-4","Hib","Hib meningitis","Cases",24,8,40
"Cuba","0-4","Hib","Hib meningitis","Cases",14,4,23
"Korea, Democratic People's Republic of","0-4","Hib","Hib meningitis","Cases",17,2,29
"Congo, the Democratic Republic of the","0-4","Hib","Hib meningitis","Cases",56,18,91
"Djibouti","0-4","Hib","Hib meningitis","Cases",63,36,98
"Ecuador","0-4","Hib","Hib meningitis","Cases",80,35,141
"Egypt","0-4","Hib","Hib meningitis","Cases",5,1,9
"El Salvador","0-4","Hib","Hib meningitis","Cases",15,3,26
"Eritrea","0-4","Hib","Hib meningitis","Cases",24,7,40
"Ethiopia","0-4","Hib","Hib meningitis","Cases",20,5,34
"Fiji","0-4","Hib","Hib meningitis","Cases",205,118,289
"Gambia","0-4","Hib","Hib meningitis","Cases",42,16,66
"Georgia","0-4","Hib","Hib meningitis","Cases",3,0,6
"Ghana","0-4","Hib","Hib meningitis","Cases",18,6,29
"Guatemala","0-4","Hib","Hib meningitis","Cases",15,2,25
"Guinea","0-4","Hib","Hib meningitis","Cases",35,11,57
"Guinea-Bissau","0-4","Hib","Hib meningitis","Cases",32,10,53
"Guyana","0-4","Hib","Hib meningitis","Cases",40,17,60
"Haiti","0-4","Hib","Hib meningitis","Cases",34,8,57
"Honduras","0-4","Hib","Hib meningitis","Cases",9,1,17
"India","0-4","Hib","Hib meningitis","Cases",22,9,34
"Indonesia","0-4","Hib","Hib meningitis","Cases",14,3,24
"Iran, Islamic Republic of","0-4","Hib","Hib meningitis","Cases",5,1,8
"Iraq","0-4","Hib","Hib meningitis","Cases",8,3,13
"Jamaica","0-4","Hib","Hib meningitis","Cases",6,1,10
"Jordan","0-4","Hib","Hib meningitis","Cases",6,1,10
"Kenya","0-4","Hib","Hib meningitis","Cases",21,8,34
"Kiribati","0-4","Hib","Hib meningitis","Cases",64,37,82
"Kosovo","0-4","Hib","Hib meningitis","Cases",11,2,24
"Kyrgyzstan","0-4","Hib","Hib meningitis","Cases",11,1,18
"Lao People's Democratic Republic","0-4","Hib","Hib meningitis","Cases",27,9,43
"Lesotho","0-4","Hib","Hib meningitis","Cases",44,17,69
"Liberia","0-4","Hib","Hib meningitis","Cases",42,13,70
"Madagascar","0-4","Hib","Hib meningitis","Cases",24,7,40
"Malawi","0-4","Hib","Hib meningitis","Cases",47,18,74
"Mali","0-4","Hib","Hib meningitis","Cases",43,14,68
"Marshall Islands","0-4","Hib","Hib meningitis","Cases",22,11,28
"Mauritania","0-4","Hib","Hib meningitis","Cases",31,10,50
"Micronesia, Federated States of","0-4","Hib","Hib meningitis","Cases",22,11,28
"Mongolia","0-4","Hib","Hib meningitis","Cases",45,22,72
"Morocco","0-4","Hib","Hib meningitis","Cases",10,2,18
"Mozambique","0-4","Hib","Hib meningitis","Cases",33,10,55
"Myanmar","0-4","Hib","Hib meningitis","Cases",23,9,36
"Namibia","0-4","Hib","Hib meningitis","Cases",19,7,29
"Nepal","0-4","Hib","Hib meningitis","Cases",10,3,16
"Nicaragua","0-4","Hib","Hib meningitis","Cases",15,2,27
"Niger","0-4","Hib","Hib meningitis","Cases",66,24,104
"Nigeria","0-4","Hib","Hib meningitis","Cases",28,8,46
"Pakistan","0-4","Hib","Hib meningitis","Cases",28,11,43
"Palestine, State of","0-4","Hib","Hib meningitis","Cases",5,2,8
"Papua New Guinea","0-4","Hib","Hib meningitis","Cases",49,24,64
"Paraguay","0-4","Hib","Hib meningitis","Cases",53,23,94
"Peru","0-4","Hib","Hib meningitis","Cases",10,1,18
"Philippines","0-4","Hib","Hib meningitis","Cases",13,2,21
"Moldova, Republic of","0-4","Hib","Hib meningitis","Cases",8,2,16
"Rwanda","0-4","Hib","Hib meningitis","Cases",19,6,32
"Samoa","0-4","Hib","Hib meningitis","Cases",68,39,96
"Sao Tome and Principe","0-4","Hib","Hib meningitis","Cases",31,13,48
"Senegal","0-4","Hib","Hib meningitis","Cases",23,7,38
"Serbia","0-4","Hib","Hib meningitis","Cases",2,1,5
"Sierra Leone","0-4","Hib","Hib meningitis","Cases",77,33,119
"Solomon Islands","0-4","Hib","Hib meningitis","Cases",33,9,44
"Somalia","0-4","Hib","Hib meningitis","Cases",66,18,109
"South Africa","0-4","Hib","Hib meningitis","Cases",18,7,27
"South Sudan","0-4","Hib","Hib meningitis","Cases",35,12,56
"Sri Lanka","0-4","Hib","Hib meningitis","Cases",3,0,5
"Sudan","0-4","Hib","Hib meningitis","Cases",27,8,46
"Swaziland","0-4","Hib","Hib meningitis","Cases",28,10,44
"Syrian Arab Republic","0-4","Hib","Hib meningitis","Cases",5,2,8
"Tajikistan","0-4","Hib","Hib meningitis","Cases",29,10,45
"Macedonia, the former Yugoslav Republic of","0-4","Hib","Hib meningitis","Cases",12,4,23
"Thailand","0-4","Hib","Hib meningitis","Cases",4,1,6
"Timor-Leste","0-4","Hib","Hib meningitis","Cases",35,14,54
"Togo","0-4","Hib","Hib meningitis","Cases",35,12,56
"Tonga","0-4","Hib","Hib meningitis","Cases",107,62,151
"Tunisia","0-4","Hib","Hib meningitis","Cases",2,0,4
"Turkmenistan","0-4","Hib","Hib meningitis","Cases",18,6,29
"Tuvalu","0-4","Hib","Hib meningitis","Cases",107,62,151
"Uganda","0-4","Hib","Hib meningitis","Cases",47,21,71
"Ukraine","0-4","Hib","Hib meningitis","Cases",6,2,11
"Tanzania, United Republic of","0-4","Hib","Hib meningitis","Cases",36,14,56
"Uzbekistan","0-4","Hib","Hib meningitis","Cases",18,7,28
