"dose","param","type","country","value"
"DTP1","Shift","Mid","Afghanistan","0"
"DTP1","Shift","Low","Afghanistan","0"
"DTP1","Shift","High","Afghanistan","0"
"DTP1","Shift","Source","Afghanistan","WHO schedules database"
"DTP1","Scale","Mid","Afghanistan","12.89466488"
"DTP1","Scale","Low","Afghanistan","7.249239602"
"DTP1","Scale","High","Afghanistan","22.93652736"
"DTP1","Scale","Source","Afghanistan","2011_MICS4"
"DTP1","Shape","Mid","Afghanistan","1.907587647"
"DTP1","Shape","Low","Afghanistan","1.907587647"
"DTP1","Shape","High","Afghanistan","1.907587647"
"DTP1","Shape","Source","Afghanistan","2011_MICS4"
"DTP2","Shift","Mid","Afghanistan","0"
"DTP2","Shift","Low","Afghanistan","0"
"DTP2","Shift","High","Afghanistan","0"
"DTP2","Shift","Source","Afghanistan","WHO schedules database"
"DTP2","Scale","Mid","Afghanistan","16.95969757"
"DTP2","Scale","Low","Afghanistan","11.71570665"
"DTP2","Scale","High","Afghanistan","24.55091702"
"DTP2","Scale","Source","Afghanistan","2011_MICS4"
"DTP2","Shape","Mid","Afghanistan","2.969949573"
"DTP2","Shape","Low","Afghanistan","2.969949573"
"DTP2","Shape","High","Afghanistan","2.969949573"
"DTP2","Shape","Source","Afghanistan","2011_MICS4"
"DTP3","Shift","Mid","Afghanistan","0"
"DTP3","Shift","Low","Afghanistan","0"
"DTP3","Shift","High","Afghanistan","0"
"DTP3","Shift","Source","Afghanistan","WHO schedules database"
"DTP3","Scale","Mid","Afghanistan","28.92815971"
"DTP3","Scale","Low","Afghanistan","19.39360737"
"DTP3","Scale","High","Afghanistan","43.15021999"
"DTP3","Scale","Source","Afghanistan","2011_MICS4"
"DTP3","Shape","Mid","Afghanistan","2.747409821"
"DTP3","Shape","Low","Afghanistan","2.747409821"
"DTP3","Shape","High","Afghanistan","2.747409821"
"DTP3","Shape","Source","Afghanistan","2011_MICS4"
"DTP1","Shift","Mid","Albania","0"
"DTP1","Shift","Low","Albania","0"
"DTP1","Shift","High","Albania","0"
"DTP1","Shift","Source","Albania","WHO schedules database"
"DTP1","Scale","Mid","Albania","10.4702934"
"DTP1","Scale","Low","Albania","8.925432068"
"DTP1","Scale","High","Albania","13.59504236"
"DTP1","Scale","Source","Albania","2m schedule (n=23)"
"DTP1","Shape","Mid","Albania","5.757823944"
"DTP1","Shape","Low","Albania","5.757823944"
"DTP1","Shape","High","Albania","5.757823944"
"DTP1","Shape","Source","Albania","2m schedule (n=23)"
"DTP2","Shift","Mid","Albania","0"
"DTP2","Shift","Low","Albania","0"
"DTP2","Shift","High","Albania","0"
"DTP2","Shift","Source","Albania","WHO schedules database"
"DTP2","Scale","Mid","Albania","20.06838989"
"DTP2","Scale","Low","Albania","17.76549891"
"DTP2","Scale","High","Albania","23.65967542"
"DTP2","Scale","Source","Albania","4m schedule (n=17)"
"DTP2","Shape","Mid","Albania","7.156065941"
"DTP2","Shape","Low","Albania","7.156065941"
"DTP2","Shape","High","Albania","7.156065941"
"DTP2","Shape","Source","Albania","4m schedule (n=17)"
"DTP3","Shift","Mid","Albania","0"
"DTP3","Shift","Low","Albania","0"
"DTP3","Shift","High","Albania","0"
"DTP3","Shift","Source","Albania","WHO schedules database"
"DTP3","Scale","Mid","Albania","29.54562926"
"DTP3","Scale","Low","Albania","26.24583081"
"DTP3","Scale","High","Albania","34.25329411"
"DTP3","Scale","Source","Albania","6m schedule (n=17)"
"DTP3","Shape","Mid","Albania","8.138547838"
"DTP3","Shape","Low","Albania","8.138547838"
"DTP3","Shape","High","Albania","8.138547838"
"DTP3","Shape","Source","Albania","6m schedule (n=17)"
"DTP1","Shift","Mid","Algeria","0"
"DTP1","Shift","Low","Algeria","0"
"DTP1","Shift","High","Algeria","0"
"DTP1","Shift","Source","Algeria","WHO schedules database"
"DTP1","Scale","Mid","Algeria","15.94373894"
"DTP1","Scale","Low","Algeria","13.63509674"
"DTP1","Scale","High","Algeria","18.64327156"
"DTP1","Scale","Source","Algeria","2013_MICS4"
"DTP1","Shape","Mid","Algeria","7.023517609"
"DTP1","Shape","Low","Algeria","7.023517609"
"DTP1","Shape","High","Algeria","7.023517609"
"DTP1","Shape","Source","Algeria","2013_MICS4"
"DTP2","Shift","Mid","Algeria","0"
"DTP2","Shift","Low","Algeria","0"
